,Day
71,"Bergman, Daniel A. (2007), Associate Professor of Biomedical Sciences. B.S., Ph.D., Bowling Green State University."
72,"Berlin, Scott (2006), Assistant Professor of Social Work. B.S., Michigan State University; M.S.W., Wayne State University; Ph.D., Michigan State University."
73,"Bettinghaus, Bruce (2008), Associate Professor of Accounting. B.B.A., Grand Valley State University; Ph.D., Pennsylvania State University. "
74,"Bhagwat, Yatin, N. (1992), Professor of Finance. B.Sc., M.M.S., University of Bombay; M.Sc., University of Baroda; M.B.A., University of Akron; Ph.D., University of Tennessee at Knoxville."
75,"Biddanda, Bopi (2002), Professor of Water Resources. B.Sc., St. Joseph’s College; M.S., Karnatak University; Ph.D., University of Georgia."
76,"Biese, Jeanine A. (2004), Assistant Professor of Occupational Therapy. B.A., Western Michigan University; M.Ed., Grand Valley State University."
77,"Billings, Esther M. (1998), Associate Professor of Mathematics. B.S., Wheaton College; M.S., Ph.D., Northern Illinois University."
78,"Biros, Shannon M. (2008), Associate Professor of Chemistry. B.A., B.S., Grand Valley State University; Ph.D., The Scripps Research Institute."
79,"Blackman, Sheila A. (1998), Professor of Biology and Cell and Molecular Biology. B.Sc., University of Calgary; Ph.D., Queen’s University."
80,"Bloem, Patricia (2000), Professor of English. B.A., Calvin College; M.Ed., Harvard University; Ph.D., Kent State University."
81,"Blose, Laurence (1997), Professor of Finance. B.S., M.B.A., Gannon University; Ph.D., University of Texas at Austin."
82,"Blossom, Frank (2011), Affiliate Professor of Communication. B.A., Ohio Wesleyan University."
83,"Blumreich, Kathleen (1988), Professor of English. B.A., M.A., Ph.D., Michigan State University."
84,"Boelkins, Matthew R. (1998), Professor of Mathematics. B.S., Geneva College; M.S., Western Washington University; Ph.D., Syracuse University."
85,"Boeve, Wallace (2000), Associate Professor of Physician Assistant Studies. B.S., Grand Valley State University; M.S., Baylor College of Medicine; Ed.D., Eastern Michigan University."
86,"Bolea, Patricia Stow (1997), Associate Professor of Social Work. B.S., Ball State University; M.S.W., Indiana University; Ph.D., Michigan State University."
87,"Bolen, Brett (2009), Assistant Professor of Physics. B.S., University of Evansville; M.S., Ph.D., University of Mississippi."
88,"Bollman, Mary (2005), Affiliate Faculty of Nursing. B.S.W., University of Nebraska; B.S.N., Creighton University; M.S.N., Grand Valley State University."
89,"Booth, Andrew (2007), Assistant Professor of Physician Assistant Studies. B.S., M.S., Central Michigan University."
90,"Borst, Joan (2003), Assistant Professor of Social Work. B.A., Calvin College; M.S.W., Grand Valley State University. Ph.D., Michigan State University."
91,"Boring, Frank (2010), Affiliate Professor of Communication. State University of New York at Geneseo."
92,"Bossemeyer, Robert (2011), Associate Professor of Engineering, B.S., B.Sc., M.S., M.Sc., Ph.D., University of Michigan."
93,"Bostrom, Andrea C. (1989), Associate Professor of Nursing. B.S., University of Michigan; M.A., Western Michigan University; Ph.D., University of Illinois at Chicago."
94,"Bowdle, Brian (2005), Associate Professor of Psychology. B.S., University of Michigan; M.S., Ph.D., Northwestern University."
95,"Bradley, Sarah (2016), Affiliate Faculty of Therapeutic Recreation. B.S., Michigan State University; M.Ed., University of Georgia."
96,"Brashler, Janet G. (1990), Professor of Anthropology. B.A., Northwestern University; M.A., Ph.D., Michigan State University."
97,"Brege, Brad (2006), Affiliate Faculty of Computing and Information Systems. B.S., Northern Michigan; M.S., Pacific Lutheran University."
98,"Brew, Ranelle (2009), Associate Professor of Public Health. B.S., Southern Connecticut State University; M.A., M.S., Ed.D., Columbia University."
99,"Brice, Colleen (2003), Associate Professor of English. B.S., Bowling Green University; M.A., Ph.D., Purdue University."
100,"Brakora, Karl (2014), Affiliate Professor of Engineering, B.S., University of Michigan, M.S., University of Michigan, Ph.D., University of Michigan."
101,"Britsch, Richard (2010), Affiliate Professor of Music. B.A., University of South Florida at Tampa."
102,"Brown Bayus, Debra (2004), Affiliate Faculty of Nursing. B.S.N., Ursuline College; M.S.N., Grand Valley State University."
103,"Brown, Carl (2014), Affiliate Faculty of Communications. B.A., M.A., East Tennessee State University; Ph.D., University of Southern Mississippi."
104,"Brueck Morris, Carrie (2011), Associate Professor of Dance. B.A., Kenyon College; M.F.A., Temple University."
105,"Buckridge, Steeve (1998), Professor of History and Director of Area and Global Studies. B.A., Barry College; M.A., University of Miami; Ph.D., Ohio State University."
106,"Buckwalter, Neal D. (2012), Assistant Professor of Public Administration. B.A., M.P.A., Brigham Young University; Ph.D., Indiana University."
107,"Buist, Carrie (2016), Assistant Professor of Criminal Justice. B.S., M.A., Eastern Michigan University; Ph.D., Western Michigan University."
108,"Bullock, Kurt (2003), Associate Professor of English. B.A., B.S., Taylor University; M.A., Ph.D., Ball State University."
109,"Bultsma, Shawn (2006), Associate Professor of Education. B.A., Calvin College; M.Ed., William Patterson University; Ph.D., Western Michigan University."
110,"Burg, Debra L. (1999), Associate Professor of Biomedical Sciences. B.A., Hope College; Ph.D., University of Iowa."
111,"Burg, Martin G. (2001), Professor of Biomedical Sciences. B.A., Hope College; Ph.D., University of Iowa."
112,"Burns, Lawrence R. (1996), Professor of Psychology. B.S., California Maritime Academy; M.A., Ph.D., State University of New York at Stony Brook."
113,"Burns-Ardolino, Wendy A. (2011), Professor of Liberal Studies. B.A., University of Hull, UK; M.A., Ph.D., George Mason University."
114,"Burritt, Karen (2011), Assistant Professor of Nursing. B.S.N., M.S.N., Ph.D., Michigan State University."
115,"Busman, Douglas (2003), Associate Professor of Education. B.S., Eastern Michigan University; M.A., University of Michigan; Ph.D., Michigan State University."
116,"Butler, Karyn (2011), Assistant Professor of Nursing. B.F.A., Cleveland Institute of Art; B.S.N., Wayne State University; M.S., University of Michigan; Ph.D., Wayne State University."
117,"Byrens, Robert (2002), Senior Affiliate Professor of Music. B.A. in Music, Olivet College."
118,"Cadena, Cara (2014), Assistant Librarian. B.A., Montana State University; M.L.S., University of Arizona"
119,"Cai, Meghan (2016), Assistant Professor of Chinese, East Asian Studies, and Chinese Studies. B.S., University of Minnesota; M.A., University of Wisconsin-Madison; Ph.D., Arizona State University-Tempe."
120,"Caillaud, Anne (1990), Associate Professor of French. M.A., Ph.D., Michigan State University."
121,"Callahan, Caitlin (2015), Assistant Professor of Geology. B.A., Mount Holyoke College; M.S., University of New Mexico; Ph.D., Western Michigan University."
122,"Campbell, Amy (2008), Associate Professor of Psychology. B.S., Grand Valley State University; M.S., Ph.D., University of Oregon."
123,"Campbell, Anna (2006), Associate Professor of Art and Design. B.A., College of Wooster; MFA, University of Wisconsin-Madison."
124,"Campbell, Arthur (1997), Professor of Music. B.M., Mount Allison University; M.M., D.M., Northwestern University."
125,"Campbell, Rachel (2009), Assistant Professor of Sociology. B.A., M.A., Ph.D., University of Alberta."
126,"Cannon, David (2000), Assistant Professor of Accounting. B.S., The University of the State of New York; M.S., State University of New York at Albany; Ph.D., Kent State University. C.P.A. (Ohio and Illinois)."
127,"Capodilupo, John G. (1996), Professor of Biomedical Sciences. B.S., Mercy College of Detroit; M.S., Ph.D., Wayne State University."
128,"Carlson, Nancy G. (2006), Affiliate Faculty of Nursing. A.D.N., Kalamazoo Valley Community College; B.S.N., University of Michigan; M.S., University of California."
129,"Carlson, Paul (2012), Assistant Professor of Music. B.M., University of Illinois; M.M., University of New Mexico; D.M., Indiana University Jacobs School of Music."
130,"Carlson, Todd A. (1986), Professor of Chemistry. B.S., Valparaiso University; Ph.D., Michigan State University."
131,"Carpenter, Heather (2012), Assistant Professor of Nonprofit Management. B.S., San Diego State University; M.M., North Park University; Ph.D., University of San Diego."
132,"Carpentier, Elisabeth (2011), Clinical Faculty, Medical Laboratory Science, B.S., Michigan Technological University."
133,"Carson, Susan (2001), Professor of Education. B.A., Antioch West; M.A., Antioch University; Ph.D., Union Institute."
134,"Castelão-Lawless, Teresa (1993), Professor of Philosophy. B.A., M.A., Classic University of Lisboa, Portugal Sciences of Education, Superior School of Education, Lisboa; Science and Technology Studies, M.S., Ph.D., Virginia Polytechnic Institute and State University."
135,"Castellanos, Rebeca (2012), Assistant Professor of Spanish. B.A., M.A., Florida International University; Ph.D., University of Texas at Austin."
136,"Cata, Isabelle M. (1993), Professor of French. B.A., Université de Paris III; M.A., Ph.D., University of Southern California."
137,"Cataldo, Jeremiah. (2011), Associate Professor of History, Frederik Meijer Honors College. B.A., M.A., Bethel College; Ph.D., Drew University."
138,"Centers, David (2008), Senior Affiliate Faculty. B.B.A., M.B.A., Western Michigan University."
139,"Chamberlain, Jeffrey S. (2007), Professor of History, Meijer Honors College. B.A., Bryan College; M.A., Trinity Evangelical Divinity School; Ph.D., University of Chicago."
140,"Chang, George Y. (2007), Associate Professor of Finance. B.S., Chung-Yuan University, Taiwan; M.A., M.B.A., The Ohio State University; Ph.D., University of Iowa."
141,"Chapman, Alice (2006), Assistant Professor of History. B.A., Utah State University; M.A.R. Yale, Ph.D., Cambridge."
142,"Choudhuri, Shabbir (2004), Professor of Engineering. B.S., Bangladesh University of Engineering and Technology; M.S., Ph.D., Pennsylvania State University."
143,"Chen, Hsiao-Ping (2006), Associate Professor of Art and Design. B.A., Zhong Guo Gon Shan College, Taipei, Taiwan; B.A., M.A., and Ph.D., The Ohio State University."
144,"Chen, Jing (1999), Associate Professor of Psychology. B.A., Beijing Normal University; M.A., Ph.D., Washington University."
145,"Chesla, Sarah (2010), Affiliate Faculty of Biomedical Sciences. B.S., Ferris State University; M.A., Wayne State University."
146,"Chaponniere, Paulette (2011), Assistant Professor of Nursing. B.A., Wheaton College; B.S.N., Columbia University; M.P.H., The John Hopkins University; Ph.D., Trident University International."
147,"Chesser, Brianna (2016), Assistant Professor of Physical Therapy. B.S., Loyola University of Chicago; M.P.T., Northwestern University."
148,"Chillag, Erin (2009), Affiliate Faculty of Nursing. B.S.N., M.S.N., Grand Valley State University."
149,"Cho, Sookyung (2015), Assistant Professor of Music. B.M., The Juilliard School; M.M., The Johns Hopkins University; D.M.A., The Juilliard School."
150,"Choi, Beomyku (2017), Assistant Professor of Education. B.A., Chuncheon National University of Education; M.A., Korea National University of Education; Ph.D., The University of Connecticut.  "
151,"Christians, Matthew J. (2013), Assistant Professor of Cell and Molecular Biology. B.S., Calvin College; Ph.D., University of California - Riverside."
152,"Chycinski, Breanna (2014), Affiliate Faculty in Occupational Science and Therapy. B.S., M.S., Grand Valley State University."
153,"Cid, Ernesto (2008), Affiliate Faculty in Spanish. B.A., M.A., University of South Florida."
154,"Cimitile, Maria C. (1999), Associate Vice President for Academic Affairs and Associate Professor of Philosophy. B.A., College of the Holy Cross; M.A., Villanova University; Ph.D., University of Memphis."
155,"Clark, Patricia (1989), Professor of Writing. B.A., University of Washington; M.F.A., University of Montana; Ph.D., University of Houston."
156,"Clark, Sarah (2014), Affiliate Faculty of Chemistry. B.S., Michigan Technological University; M.S., University of Wisconsin-Madison."
157,"Cleghorn, Susan (2008), Assistant Professor of Occupational Therapy. B.S., Illinois State University; M.S., Grand Valley State University; Dr. OT, Creighton University."
158,"Cleveland, Rosemary (2002), Affiliate Professor of Education. B.A., Nazareth College; M.A., Ed.D., Western Michigan University."
159,"Cline, Gregory (2008), Assistant Professor of Public and Health Administration. B.S., University of Toledo; Ph.D., Michigan State University."
160,"Coffey, David (2000), Professor of Mathematics. B.S., Pepperdine University; M.S., University of Michigan; Ph.D., Western Michigan University."
161,"Cole, Kevin C. (1989), Associate Professor of Geology. B.S., M.S., University of Washington; Ph.D., University of Arizona."
162,"Cole, Roy (1992), Professor of Geography and Sustainable Planning. B.A., Northern Michigan University; M.S., Ph.D., Michigan State University."
163,"Colgan, Patrick (2003), Professor of Geology. B.S. University of Missouri-Kansas City; M.S., University of Kansas; Ph.D., University of Wisconsin-Madison."
164,"Colley, Brett (2004), Associate Professor of Art and Design. B.F.A., Grand Valley State University; M.A., M.F.A., University of Iowa."
165,"Conrad, Dianne M. (2012), Assistant Professor of Nursing. B.S.N., M.S., Northern Illinois University; D.N.P., Madonna University."
166,"Constantelos, John (1996), Professor of Political Science. B.A., Tufts University; M.A., The Johns Hopkins University; M.S., Tufts University; Ph.D., Duke University."
167,"Cook, Paul (2013), Assistant Professor of Chemistry. B.S., Grand Valley State University; Ph.D., University of Wisconsin - Madison."
168,"Cooley, Richard (2001), Associate Professor of History. B.A., State University at Cortland, NY; M.A., Wichita State University; Ed.D., Kansas State University."
169,"Coolidge, Grace (2001), Associate Professor of History. B.A., Saint Olaf College; M.A., Ph.D., Indiana University."
170,"Cooper, Jay (1988), Associate Professor of Education. B.S., Oakland University; M.S., Southern Illinois University; Ed.D., Western Michigan University."
171,"Cooper, Kristin, M. (2004), Affiliate Faculty of Nursing. B.S.N., M.S.N., Grand Valley State University."
172,"Copenhaver, Lee (1985), Associate Professor of Music. B.S., Mansfield State University; M.M., Ithaca College; M.A., Ph.D., University of Iowa."
173,"Corker, Katherine S. (2016), Assistant Professor of Psychology. BA., University of Northern Iowa; M.A., Ph.D., Michigan State University. "
174,"Corneal, Lindsay (2011), Associate Professor of Engineering. B.S., B.S.c, University of Windsor; M.B.A., Lawrence Technological University; Ph.D., Michigan State University"
175,"Cornelius, Tara (2004), Professor of Psychology. B.S., Santa Clara University; M.A., Ph.D., Western Michigan University."
176,"Cornish, Paul J. (2003), Associate Professor of Political Science. B.A., Geneseo State College; M.A., Ph.D., State University of New York at Buffalo."
177,"Cotter, Michael J. (1990), Associate Professor of Marketing. B.S., M.B.A., Central Michigan University; D.B.A., Mississippi State University."
178,"Coviak, Cynthia (1995), Professor of Nursing. B.S.N., Michigan State University; M.S.N., Grand Valley State University; Ph.D., University of Michigan."
179,"Crampton, Suzanne (1994), Professor of Management. B.B.A., M.B.A., Grand Valley State University; Ph.D., Michigan State University."
180,"Crane, David C. (2014), Assistant Professor of Classics. A.B., University of Chicago; M.A., Ph.D., University of California, Berkeley."
181,"Crouthamel, Jason, (2003), Associate Professor of History. B.A., University of California Santa Cruz; M.A., Ph.D., Indiana University."
182,"Crowell, Gregory (2008), Senior Affiliate Professor of Music, D.M.A., M.M. University of Cincinnati College-Conservatory of Music; B.M. New England Conservatory of Music."
183,"Cunningham, Norine M. (1998), Affiliate Faculty of Nursing. B.S.N., Winona State University; M.S.N., University of Illinois."
184,"Curtiss, Phyllis J. (1998), Professor of Statistics. B.S., M.S., Western Michigan University; Ph.D., Bowling Green State University."
185,"Cwick, Jaclyn (2016), Assistant Professor of Criminal Justice. B.A. Eastern Illinois University; M.A., Northern Illinois University."
186,"Dalela, Vivek (2009), Associate Professor of Marketing. B.S., St. Stephen’s College; M.S., University of Lucknow, India; Ph.D., University of Alabama."
187,"Daley, Matthew (2004), Associate Professor of History. B.A., University of Detroit Mercy; M.A., Wayne State University; Ph.D., Bowling Green State University."
188,"Dalmia, Sonia (1999), Professor of Economics. B.A., M.A., B.Ed., University of Delhi; M.A., University of Oklahoma; Ph.D., University of Iowa."
189,"Damstra, Kelli M. (2009), Affiliate Faculty of Nursing. B.S.N., University of Michigan; M.S.N., University of Texas."
190,"Daniels, Jeffrey (2010), Assistant Librarian. B.S., Grand Valley State University; M.L.I.S., Wayne State University."
191,"Danielson, Sigrid (2004), Associate Professor of Art and Design. B.A., Macalaster College; M.A., Ph.D., Indiana University."
192,"Danko, Dori (2001), Instructor of Accounting. B.S., Michigan State University; M.B.A., Grand Valley State University."
193,"Davis, Alisha (2010), Assistant Professor of Allied Health Sciences. B.S., M.A., Western Michigan University."
194,"Davis, Rebecca (2001), Associate Professor of Nursing. B.S.N., Georgia State University; M.S.N., Grand Valley State University; Ph.D., University of Michigan."
195,"De, Kuhelika (2017), Assistant Professor of Economics. B.A., University of Delhi; M.A., University of Manchester; Ph.D. (ABD), University of Georgia"
196,"Dean, Kristy (2009), Associate Professor of Psychology. B.A., Michigan State University; M.S., Ph.D., Northwestern University."
197,"Deaner, Robert (2006), Associate Professor of Psychology. B.A., Colgate University; Ph.D., Duke University."
198,"DeBruine, Marinus (1991), Associate Professor of Accounting. B.B.A., Grand Valley State University; Ph.D., The Ohio State University."
199,"de la Rosa, Denise (2003), Associate Professor of Accounting. B.A., Wayne State University; M.A., University of Southern California; M.A., Ferris State University; Ph.D., University of North Texas."
200,"DeFrance, Nancy (2009), Associate Professor of Education. B.S., Ohio University; M.A., Cleveland State University; Ph.D., University of Michigan."
201,"DeMuth, Danielle (2006), Associate Professor and Chair of Women, Gender, and Sexuality Studies. B.A., Heidelberg College; M.A., University of Toledo; Ph.D., University of Toledo."
202,"DeVries, Dawn (2013), Assistant Professor of Therapeutic Recreation. B.S.R., Calvin College; M.P.A., Grand Valley State University; D.H.A., Central Michigan University."
203,"DeWilde, Michael (2000), Associate Professor of Philosophy. B.A., William James College; M.T.S., Harvard University."
204,"Deyo, Brian (2013), Assistant Professor of English. B.A., Miami University; M.A., University of Chicago; Ph.D., Vanderbilt University."
205,"deYoung, Mary (1985), Professor of Sociology. B.S., Grand Valley State University; M.A., University of Chicago; Ph.D., Western Michigan University."
206,"Diarrassouba, Nagnon (2008), Assistant Professor of Education, B.A., M.A., University of Abidjan; Ed.D., Northern Arizona University."
207,"Dickerson, Sarah (2007), Affiliate Professor of Writing. B.S., M.A., Central Michigan University; M.F.A., University of Iowa."
208,"Dickinson, William (2000), Associate Professor of Mathematics. B.A., Cornell University; M.S.E., Ph.D., University of Pennsylvania."
209,"Dietrich, Margaret (2003), Associate Professor of Biology and Cell and Molecular Biology. B.S., University of Wisconsin-Madison; Ph.D., University of Minnesota-Twin Cities."
210,"Dillard, Amanda (2009), Associate Professor of Psychology. B.A., The Ohio State University; M.S., Ph.D., North Dakota State University."
211,"Dimkoff, Gregg K. (1975), Professor of Finance. B.S., Michigan State University; M.B.A., Saint Louis University; Ph.D., Michigan State University."
212,"Diven, Polly (1994), Professor of Political Science. B.A., Hamilton College; M.A.L.D., Fletcher School of Law and Diplomacy, Tufts University; Ph.D., University of North Carolina at Chapel Hill."
213,"Dobson, Christopher (2003), Professor of Biology. B.S., Oregon State University; M.S., Portland State University; D.A., Idaho State University."
214,"Doğru, Filiz (2003), Associate Professor of Mathematics. B.S., Ankara University; M.S., Brown University; M.S., Virginia Tech University; M.A., University of Toledo; Ph.D., Pennsylvania State University."
215,"Dondzila, Christopher J. (2015), Assistant Professor of Movement Science. B.S., Grand Valley State University; M.S., Ph.D., University of Wisconsin."
216,"Downer, Robert (2005), Professor of Statistics. B.Sc., Memorial University; M.Math, University of Waterloo; Ph.D., Dalhousie University."
217,"Downey, Davia Cox (2011), Assistant Professor of Public Administration. B.A., Albion College; M.P.A., Eastern Michigan University; Ph.D., Michigan State University."
218,"Doyon-Martin, Jacquelynn (2012), Assistant Professor of Criminal Justice. B.A., Carthage College; M.A., Ph.D., Western Michigan University."
219,"Drake, Brian (2009), Associate Professor of Mathematics. B.A., University of Michigan; Ph.D., Brandeis University."
